,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Pigr,Pigr,Pigr,Pigr,Pigr,Pigr,Gpam,Gpam,Gpam,Gpam,Gpam,Gpam,Acly,Acly,Acly,Acly,Acly,Acly
,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1
58,8054,8105,67,0.49842193205025065,0.9917497845092969,0.6634266886326196,29782,37347,123,0.44365326460993015,0.9958869754221702,0.6138466929117629,7123,12989,25,0.3541666666666667,0.9965025181869054,0.5225972120322817,2597,8525,22,0.23350116885452257,0.9915998472699503,0.3779928680590932
59,8065,8347,56,0.49140872532293445,0.9931042975003078,0.6574817592630335,29807,37623,98,0.4420436007711701,0.9967229560274201,0.6124621153747367,7128,13192,20,0.35078740157480315,0.9972020145495244,0.5190039318479686,2603,8686,16,0.23057843918859067,0.9938907980145093,0.3743169398907104
60,8081,8677,40,0.4822174483828619,0.9950744982145056,0.6496241810362152,29823,37982,82,0.43983482044097044,0.9972579836147801,0.6104390543444888,7131,13449,17,0.34650145772594754,0.9976217123670957,0.5143537218695903,2605,8939,14,0.22565835065835066,0.9946544482626957,0.3678599166843183
61,8087,8782,34,0.4794000829924714,0.9958133234823298,0.647218887555022,29827,38093,78,0.4391489988221437,0.9973917405116202,0.6098032200357781,7133,13519,15,0.3453902769707534,0.9979015109121433,0.5131654676258993,2606,9004,13,0.2244616709732989,0.9950362733867889,0.3662941879260665
62,8090,8870,31,0.47700471698113206,0.9961827361162419,0.6451098441050995,29830,38185,75,0.4385797250606484,0.9974920581842501,0.6092728758169935,7133,13584,15,0.3443066080996283,0.9979015109121433,0.5119684191638255,2606,9053,13,0.2235183120336221,0.9950362733867889,0.36503712004482425
63,8095,8970,26,0.4743627307354234,0.9967984238394286,0.6428174382593504,29841,38295,64,0.4379623106727721,0.9978598896505602,0.6087453208351608,7138,13652,10,0.34333814333814333,0.9986010072747622,0.5109886176533753,2609,9111,10,0.22261092150170647,0.9961817487590684,0.36390264314108367
64,8095,8976,26,0.47419600492062564,0.9967984238394286,0.642664337885043,29841,38313,64,0.4378466414297033,0.9978598896505602,0.6086335777440113,7138,13658,10,0.3432390844393153,0.9986010072747622,0.5108789006584598,2609,9114,10,0.22255395376610082,0.9961817487590684,0.3638265234974201
65,8095,8997,26,0.47361338637959277,0.9967984238394286,0.6421290604053465,29842,38325,63,0.4377778103774554,0.9978933288747701,0.6085732930907906,7138,13673,10,0.3429916870885589,0.9986010072747622,0.51060481419221,2609,9125,10,0.22234532128856316,0.9961817487590684,0.36354769037831813
66,8102,9035,19,0.4727781992180662,0.9976603866518902,0.6415393142766649,29848,38408,57,0.4372948898265354,0.99809396422003,0.608143763816587,7138,13730,10,0.342054820778225,0.9986010072747622,0.5095659623072529,2609,9156,10,0.22175945601359967,0.9961817487590684,0.3627641824249166
67,8102,9035,19,0.4727781992180662,0.9976603866518902,0.6415393142766649,29848,38408,57,0.4372948898265354,0.99809396422003,0.608143763816587,7138,13730,10,0.342054820778225,0.9986010072747622,0.5095659623072529,2609,9156,10,0.22175945601359967,0.9961817487590684,0.3627641824249166
68,8104,9037,17,0.47278455165976313,0.9979066617411649,0.6415960731533529,29850,38416,55,0.4372601294934521,0.9981608426684501,0.6081225616526266,7139,13733,9,0.34203717899578384,0.998740906547286,0.509564596716631,2609,9159,10,0.22170292318150916,0.9961817487590684,0.3626885382637103
69,8104,9037,17,0.47278455165976313,0.9979066617411649,0.6415960731533529,29850,38417,55,0.43725372434704907,0.9981608426684501,0.6081163671922748,7139,13736,9,0.3419880239520958,0.998740906547286,0.5095100453199157,2609,9162,10,0.22164641916574632,0.9961817487590684,0.3626129256428075
70,8106,9044,15,0.4726530612244898,0.9981529368304396,0.6415258596810574,29854,38428,51,0.4372162502562901,0.9982945995652901,0.6081049426095104,7139,13742,9,0.3418897562377281,0.998740906547286,0.5094009775589569,2610,9168,9,0.2215995924605196,0.9965635738831615,0.36257553657011876
71,8107,9050,14,0.4725185055662412,0.9982760743750769,0.6414273281114011,29860,38433,45,0.4372336842721802,0.99849523491055,0.6081590256420701,7140,13750,8,0.3417903303015797,0.9988808058198098,0.5093087952065054,2611,9170,8,0.22162804515745693,0.9969453990072547,0.3626388888888889
72,8109,9059,12,0.4723322460391426,0.9985223494643517,0.6413064968958837,29866,38460,39,0.43711032403477446,0.9986958702558101,0.6080768800073296,7140,13758,8,0.34165948894631065,0.9988808058198098,0.5091635170790844,2613,9177,6,0.22162849872773538,0.997709049255441,0.3626899854257755
73,8109,9069,12,0.47205728257073,0.9985223494643517,0.6410530060476699,29867,38474,38,0.43702901625671264,0.99872930948002,0.6080043971255827,7140,13766,8,0.341528747727925,0.9988808058198098,0.5090183218079418,2613,9190,6,0.2213843937981869,0.997709049255441,0.3623630564415476
74,8110,9075,11,0.4719231888274658,0.998645487008989,0.6409547142970046,29875,38485,30,0.4370245757753072,0.9989968232737001,0.6080496616292678,7142,13772,6,0.3414937362532275,0.9991606043648573,0.5090157508374313,2614,9197,5,0.22131910930488527,0.9980908743795341,0.36230076230076225
75,8110,9077,11,0.47186827253156455,0.998645487008989,0.6409040619566936,29876,38485,29,0.43703281110574743,0.99903026249791,0.6080638267559482,7142,13774,6,0.34146108242493783,0.9991606043648573,0.5089794754846066,2614,9197,5,0.22131910930488527,0.9980908743795341,0.36230076230076225
76,8110,9083,11,0.4717036003024487,0.998645487008989,0.640752152958837,29876,38495,29,0.4369688903189949,0.99903026249791,0.6080019536814685,7142,13785,6,0.3412815979356812,0.9991606043648573,0.508780053428317,2614,9202,5,0.22122545700744753,0.9980908743795341,0.36217526844475234
77,8110,9087,11,0.47159388265395125,0.998645487008989,0.6406509202938621,29876,38502,29,0.4369241568925678,0.99903026249791,0.6079586500208581,7142,13792,6,0.3411674787427152,0.9991606043648573,0.5086532298269354,2614,9208,5,0.22111317881915074,0.9980908743795341,0.3620247905269718
78,8110,9087,11,0.47159388265395125,0.998645487008989,0.6406509202938621,29876,38503,29,0.43691776715073344,0.99903026249791,0.6079524642871679,7142,13794,6,0.3411348872755063,0.9991606043648573,0.5086170061244837,2614,9208,5,0.22111317881915074,0.9980908743795341,0.3620247905269718
79,8110,9090,11,0.47151162790697676,0.998645487008989,0.6405750167844873,29877,38507,28,0.4369004445484324,0.99906370172212,0.6079418856637061,7142,13799,6,0.34105343584356046,0.9991606043648573,0.5085264694364342,2614,9209,5,0.2210944768671234,0.9980908743795341,0.36199972303005123
80,8110,9091,11,0.4714842160339515,0.998645487008989,0.640549719611405,29877,38510,28,0.43688127860558296,0.99906370172212,0.6079233304846784,7142,13799,6,0.34105343584356046,0.9991606043648573,0.5085264694364342,2616,9209,3,0.22122621564482028,0.9988545246277205,0.36222653004707833
81,8110,9091,11,0.4714842160339515,0.998645487008989,0.640549719611405,29877,38510,28,0.43688127860558296,0.99906370172212,0.6079233304846784,7142,13799,6,0.34105343584356046,0.9991606043648573,0.5085264694364342,2616,9209,3,0.22122621564482028,0.9988545246277205,0.36222653004707833
82,8110,9093,11,0.4714294018485148,0.998645487008989,0.6404991312588848,29877,38511,28,0.4368748903316371,0.99906370172212,0.6079171456767013,7142,13799,6,0.34105343584356046,0.9991606043648573,0.5085264694364342,2616,9211,3,0.22118880527606324,0.9988545246277205,0.3621763810051225
83,8110,9093,11,0.4714294018485148,0.998645487008989,0.6404991312588848,29877,38511,28,0.4368748903316371,0.99906370172212,0.6079171456767013,7142,13801,6,0.34102086616053096,0.9991606043648573,0.5084902637855542,2616,9211,3,0.22118880527606324,0.9988545246277205,0.3621763810051225
84,8110,9094,11,0.47140199953499184,0.998645487008989,0.6404738400789733,29877,38511,28,0.4368748903316371,0.99906370172212,0.6079171456767013,7142,13801,6,0.34102086616053096,0.9991606043648573,0.5084902637855542,2616,9211,3,0.22118880527606324,0.9988545246277205,0.3621763810051225
85,8110,9096,11,0.4713472044635592,0.998645487008989,0.6404232637106645,29877,38512,28,0.436868502244513,0.99906370172212,0.6079109609945673,7142,13802,6,0.3410045836516425,0.9991606043648573,0.5084721628933505,2616,9211,3,0.22118880527606324,0.9988545246277205,0.3621763810051225
86,8110,9099,11,0.4712650357371143,0.998645487008989,0.6403474141334385,29877,38517,28,0.4368365646109308,0.99906370172212,0.6078800394714086,7142,13802,6,0.3410045836516425,0.9991606043648573,0.5084721628933505,2616,9211,3,0.22118880527606324,0.9988545246277205,0.3621763810051225
87,8112,9100,9,0.47129909365558914,0.9988917620982638,0.6404294793352544,29877,38521,28,0.4368110178660195,0.99906370172212,0.6078553045176648,7142,13803,6,0.34098830269754116,0.9991606043648573,0.5084540632897875,2616,9213,3,0.2211514075576972,0.9988545246277205,0.36212624584717606
88,8113,9101,8,0.47130242825607066,0.9990148996429011,0.6404578646141701,29879,38524,26,0.43680832712015555,0.99913058017054,0.6078650771046099,7144,13804,4,0.3410349436700401,0.9994404029099049,0.5085421412300684,2616,9214,3,0.22113271344040575,0.9988545246277205,0.3621011834729047
89,8113,9103,8,0.47124767657992567,0.9990148996429011,0.6404073094683664,29880,38531,25,0.4367718641738902,0.9991640193947501,0.6078359575247163,7144,13812,4,0.3409047528154228,0.9994404029099049,0.5083973811557074,2616,9216,3,0.2210953346855984,0.9988545246277205,0.36205106913016405
